index,start,end,text
92,00:29:38:519,00:30:12:519," how about token jumping parameterized by k on triangle-free graphs? That's basically  even more general than question one. And the reason why I mentioned this question separately  is because almost every reduction that I know of includes large cliques. So you need to use  large cliques in your reductions. So how about if we don't allow triangles and large cliques?  So can we then say something about the problem? So that's for token jumping. Now, when you go"
93,00:29:58:360,00:30:36:039," large cliques in your reductions. So how about if we don't allow triangles and large cliques?  So can we then say something about the problem? So that's for token jumping. Now, when you go  to token sliding, so the open problem is, what happens for token sliding on graphs of girth  at least 5? So if they are C3, C4 free. Or you can even make that a bit weaker and ask for any  girth of at least p, for some constant p. And for all of these questions, of course,"
94,00:30:20:279,00:31:03:720," at least 5? So if they are C3, C4 free. Or you can even make that a bit weaker and ask for any  girth of at least p, for some constant p. And for all of these questions, of course,  polynomial kernels would be interesting as well. Because in our case, we do get polynomial kernels  for the FPT design. The polynomials are not great, but polynomial regardless.  All right. So in the rest of the talk, I will try to cover some of the technical stuff."
95,00:30:44:120,00:31:21:240," for the FPT design. The polynomials are not great, but polynomial regardless.  All right. So in the rest of the talk, I will try to cover some of the technical stuff.  And as promised, I will try to keep it as light as possible so that I can give you  some of a lot of the intuition and techniques that are used in this paper and that are generally  used when dealing with reconfiguration problems. So the first result that we will go over is this"
96,00:31:08:200,00:31:43:160," some of a lot of the intuition and techniques that are used in this paper and that are generally  used when dealing with reconfiguration problems. So the first result that we will go over is this  W hardness on C4 free graphs for both token sliding and token jumping. It's the same reduction,  and you will get both results because we will be using maximum independent sets.  So if you're trying to basically do token sliding from one maximum independent set to the other"
97,00:31:28:200,00:31:59:480," and you will get both results because we will be using maximum independent sets.  So if you're trying to basically do token sliding from one maximum independent set to the other  or token jumping, these two rules become equivalent. Jumping becomes equivalent to sliding.  So when you're dealing with maximum independent sets, these two basically rules are the same.  And that's what we're going to do. But what we're going to prove actually is a stronger"
98,00:31:49:480,00:32:22:760," So when you're dealing with maximum independent sets, these two basically rules are the same.  And that's what we're going to do. But what we're going to prove actually is a stronger  theorem. What we're going to prove is the following theorem. If you take any p greater  than or equal to 4, then both problems are W-hard on C4, C5, dot, dot, dot up to CP free graphs,  which implies, of course, C4 free graphs. But you can basically exclude"
99,00:32:04:840,00:32:49:560," than or equal to 4, then both problems are W-hard on C4, C5, dot, dot, dot up to CP free graphs,  which implies, of course, C4 free graphs. But you can basically exclude  any cycles from C4 up to CP for constant p, and the problems will remain W-hard.  So how do we prove this result? In fact, we use a known reduction  from a problem known as grid tiling, which is a W-1-hard problem. And grid tiling is reduced"
100,00:32:34:840,00:33:12:600," So how do we prove this result? In fact, we use a known reduction  from a problem known as grid tiling, which is a W-1-hard problem. And grid tiling is reduced  to the independent set problem on C4 up to CP free graphs. And that reduction was used to show  that independent set remains W-1-hard if you exclude C4 up to CP for any constant p.  But what is interesting and useful in that reduction is the graph that is obtained"
101,00:32:58:120,00:33:32:200," that independent set remains W-1-hard if you exclude C4 up to CP for any constant p.  But what is interesting and useful in that reduction is the graph that is obtained  from the reduction. So the graph that is obtained from the reduction  has three properties that are going to be useful to us. The first property is that you can partition  the graph into basically 8k squared into p plus 1 cliques. So you have a bunch of cliques,"
102,00:33:17:480,00:33:49:559," has three properties that are going to be useful to us. The first property is that you can partition  the graph into basically 8k squared into p plus 1 cliques. So you have a bunch of cliques,  each of size n, and all of the edges basically are between the cliques.  But that's it. That's it. That's the whole of the graph. It's a bunch of cliques  and edges between them. Of course, the more important property as well here is that"
103,00:33:38:919,00:34:11:239," But that's it. That's it. That's the whole of the graph. It's a bunch of cliques  and edges between them. Of course, the more important property as well here is that  this graph is going to be C4 up to CP free. It will not have any of those cycles as an  induced subgraph. And it's an equivalent instance to the grid tiling instance.  And that basically gives you W-1-hardness of independent set on this class of graphs."
104,00:33:57:159,00:34:29:080," induced subgraph. And it's an equivalent instance to the grid tiling instance.  And that basically gives you W-1-hardness of independent set on this class of graphs.  So notice in this case that an independent set of size 8k squared into p plus 1 will  have to be a maximum independent set because that's how many cliques we get in the resulting  graph. And that's basically the sizes that we will be working with, more or less up to some"
105,00:34:19:240,00:34:52:280," have to be a maximum independent set because that's how many cliques we get in the resulting  graph. And that's basically the sizes that we will be working with, more or less up to some  modifications. But this will allow us to basically conclude that both sliding and jumping are hard  on this class of graphs. So how do we use this for showing hardness of token sliding and token  jumping? And let's focus on token sliding for now because it's going to be the same anyway."
106,00:34:37:320,00:35:09:400, on this class of graphs. So how do we use this for showing hardness of token sliding and token  jumping? And let's focus on token sliding for now because it's going to be the same anyway.  So we have those cliques and some edges that go between the cliques.  So the first attempt would be as follows. We will add a universal vertex to each one of the cliques  and we will call this the starting set or the starting independent set.
107,00:34:57:960,00:35:30:199, So the first attempt would be as follows. We will add a universal vertex to each one of the cliques  and we will call this the starting set or the starting independent set.  And then we add another universal vertex to each one of the cliques and call this the target  independent set. And now basically we have our instance of token sliding. We want to slide  everybody in s down to t. So notice that this is useful because we don't introduce any of the
108,00:35:15:239,00:35:51:400," independent set. And now basically we have our instance of token sliding. We want to slide  everybody in s down to t. So notice that this is useful because we don't introduce any of the  forbidden cycles. So we are still fine. And if we could guarantee that all of the tokens will be  on the cliques simultaneously, then this will imply an independent set in the original graph,  which concludes our proof. But unfortunately, in this case, we definitely cannot conclude that"
109,00:35:38:679,00:36:14:440," on the cliques simultaneously, then this will imply an independent set in the original graph,  which concludes our proof. But unfortunately, in this case, we definitely cannot conclude that  because each red token can slide independently here and then here, and then the next one can  follow, et cetera, et cetera, et cetera. So you need some way of forbidding these tokens  to behave freely. We want to ensure that they will all be inside the cliques simultaneously"
110,00:35:59:319,00:36:35:799," follow, et cetera, et cetera, et cetera. So you need some way of forbidding these tokens  to behave freely. We want to ensure that they will all be inside the cliques simultaneously  and we will be done. And notice that we're going to have 8k squared and 2p plus one tokens, right?  One for each clique and two universal vertices for each clique. So how do we fix this simultaneity  issue? Well, here's how we can do it. So instead of simply adding universal vertices,"
111,00:36:19:799,00:36:55:000," One for each clique and two universal vertices for each clique. So how do we fix this simultaneity  issue? Well, here's how we can do it. So instead of simply adding universal vertices,  we're also going to add an edge between every two universal vertices of a clique.  And then we're going to add something that we call a switch. And in this case, it's a simple edge.  And the red token here needs to go to the blue position, right? So now we have one extra"
112,00:36:41:640,00:37:17:720," And then we're going to add something that we call a switch. And in this case, it's a simple edge.  And the red token here needs to go to the blue position, right? So now we have one extra  token inside our graph. But now notice what happens. If any red token wants to come to the  blue position, then this red token needs to be moved to this position before. And if you move  that token up to the blue position, then you can no longer have any of the red tokens on the"
113,00:37:04:840,00:37:40:360," blue position, then this red token needs to be moved to this position before. And if you move  that token up to the blue position, then you can no longer have any of the red tokens on the  universal vertices, which means that they will all have to be simultaneously inside the cliques.  And now we get the behavior that we want. So now we can guarantee that if there is a sequence that  takes the red tokens to the blue position, then some way along that sequence, the tokens are all"
114,00:37:25:240,00:37:58:760," And now we get the behavior that we want. So now we can guarantee that if there is a sequence that  takes the red tokens to the blue position, then some way along that sequence, the tokens are all  going to be within the cliques. Unfortunately, what happened here is we might have introduced  some of the forbidden cycles. We can no longer guarantee that this is C4 up to CP3.  So what you can do in this case to solve this problem, and I'm not going to go into the details,"
115,00:37:45:560,00:38:18:760," some of the forbidden cycles. We can no longer guarantee that this is C4 up to CP3.  So what you can do in this case to solve this problem, and I'm not going to go into the details,  but the intuition should be pretty clear, is that you can subdivide those edges, make them  long enough so that you don't introduce any forbidden cycles, and add appropriate tokens  inside of them to get the same behavior. Because notice that the number of such edges is bounded"
116,00:38:05:960,00:38:39:320," long enough so that you don't introduce any forbidden cycles, and add appropriate tokens  inside of them to get the same behavior. Because notice that the number of such edges is bounded  by a function of K, by a function of, yes, K and P in this case. So you can make these edges,  subdivide them as many times as needed, add as many tokens as needed to maintain all the  properties that we need, and to maintain that we're going from one maximum independent set"
117,00:38:29:080,00:39:10:680," subdivide them as many times as needed, add as many tokens as needed to maintain all the  properties that we need, and to maintain that we're going from one maximum independent set  to the other, which will give you W1 hardness for both token sliding as well as token jumping.  All right. Questions.  No questions. All right. So let's keep going."
118,00:38:48:760,00:39:36:440," All right. Questions.  No questions. All right. So let's keep going.  So now I'm going to talk about some positive results.  So the result that I'm going to talk about is this one here. So I'm going to show you that  on C3, C4-free graphs, token jumping is actually FPG and has a quadratic kernel. But again,"
119,00:39:19:000,00:39:57:960," So the result that I'm going to talk about is this one here. So I'm going to show you that  on C3, C4-free graphs, token jumping is actually FPG and has a quadratic kernel. But again,  what we will show is a stronger result. So what we will show is the following theorem.  What we will show can be summarized as follows. So if you look at any graph  or at any instance of the token jumping problem. So remember, an instance of token jumping has the"
120,00:39:42:680,00:40:20:760," What we will show can be summarized as follows. So if you look at any graph  or at any instance of the token jumping problem. So remember, an instance of token jumping has the  input graph, the starting set, the target set, and K as the number of tokens.  So let me try and draw something here. So if you look at your graph, you can kind of decompose it  into something which is more or less as follows. So you have S, you have T, their intersection"
121,00:40:03:160,00:40:46:279," So let me try and draw something here. So if you look at your graph, you can kind of decompose it  into something which is more or less as follows. So you have S, you have T, their intersection  need not be empty. And then you have the neighborhood of S union T. And then you have  the rest of the graph. So we're going to call the rest of the graph H, and we're going to call  the closed neighborhood of S union T, or if you will, this yellow part here, we call that J."
122,00:40:29:559,00:41:11:000," the rest of the graph. So we're going to call the rest of the graph H, and we're going to call  the closed neighborhood of S union T, or if you will, this yellow part here, we call that J.  So we can think of our problem of our graph as being decomposed into those two areas, H and J.  Okay, so the theorem states the following. If H is epsilon sparse, where epsilon sparse means  that the number of edges is at most n squared minus epsilon, positive epsilon. So if H is"
123,00:40:53:559,00:41:34:680," Okay, so the theorem states the following. If H is epsilon sparse, where epsilon sparse means  that the number of edges is at most n squared minus epsilon, positive epsilon. So if H is  epsilon sparse and J is C3, C4 free, then the problem admits a kernel which is that big,  K squared plus K into one plus one over epsilon.  So notice now that we only need that H is epsilon sparse, and we only require C3, C4"
124,00:41:21:320,00:41:59:720," K squared plus K into one plus one over epsilon.  So notice now that we only need that H is epsilon sparse, and we only require C3, C4  freeness inside J, which is S union T closed neighborhood, closed neighborhood of S union T.  And this idea is actually is not a new idea. So this idea is, okay, I had the drawing here,  I should have used it. So the idea comes from, has been used before, and it's what we call the"
125,00:41:42:280,00:42:18:679," And this idea is actually is not a new idea. So this idea is, okay, I had the drawing here,  I should have used it. So the idea comes from, has been used before, and it's what we call the  buffer technique for the token jumping problem. And the intuition behind the buffer technique is  very simple. So if I have S union T, but somewhere in the graph, which is not in the closed  neighborhood of S union T, I have a K-sized independent set, then you are done, right?"
126,00:42:04:519,00:42:37:559," very simple. So if I have S union T, but somewhere in the graph, which is not in the closed  neighborhood of S union T, I have a K-sized independent set, then you are done, right?  If I have a K-sized independent set in H, then you're done. You can basically  take all the tokens on S, jump them into those independent yellow vertices in H,  and then jump them back to T. So in some sense, when H has a large independent set,"
127,00:42:25:159,00:42:57:400," take all the tokens on S, jump them into those independent yellow vertices in H,  and then jump them back to T. So in some sense, when H has a large independent set,  that's the easy case, right? You're done. If you can find a large enough independent set in H,  you're done. And that's what we call the buffer technique, because it's been also used to show  that the problem is FPT on planar graphs, for example, or K3 J-free graphs, so graphs without"
128,00:42:44:440,00:43:14:599," you're done. And that's what we call the buffer technique, because it's been also used to show  that the problem is FPT on planar graphs, for example, or K3 J-free graphs, so graphs without  large biplanes. So it's a well-known technique. All right.  So what do we show? So we're going to use the buffer technique,  and we're going to combine it with something else."
129,00:43:09:079,00:43:41:000," So what do we show? So we're going to use the buffer technique,  and we're going to combine it with something else.  So we show that you have a yes instance whenever one of those two conditions is true.  The first condition is that H is epsilon sparse and contains more than this many vertices.  And this is relatively easy. When you contain this many vertices and you are epsilon sparse,"
130,00:43:23:720,00:43:54:040," The first condition is that H is epsilon sparse and contains more than this many vertices.  And this is relatively easy. When you contain this many vertices and you are epsilon sparse,  then you will have a K-sized independent set. And that's basically the buffer technique.  When H is epsilon sparse and has that many vertices or more,  then H is guaranteed to have an independent set of size K, and you're done."
131,00:43:46:440,00:44:14:120," When H is epsilon sparse and has that many vertices or more,  then H is guaranteed to have an independent set of size K, and you're done.  So now you are stuck with what happens inside J or the closed neighborhood of S union T.  And it turns out there, if you have C3 C4 freeness, the only thing you need on top of that  to guarantee a yes instance is a vertex of degree at least 3K."
132,00:44:02:600,00:44:38:920," And it turns out there, if you have C3 C4 freeness, the only thing you need on top of that  to guarantee a yes instance is a vertex of degree at least 3K.  So if you have C3 C4 freeness inside J and the vertex of degree 3K, then again,  you get a yes instance. So let me prove those two statements separately,  because they will be basically what we need for the final theorem, for the final kernel."
133,00:44:23:799,00:44:58:119," you get a yes instance. So let me prove those two statements separately,  because they will be basically what we need for the final theorem, for the final kernel.  So the first lemma, as I told you, if H is epsilon sparse and has more than this many vertices,  then it's a yes instance, because you have a K-sized independent set in H.  The idea of this proof is simple. It's a counting argument. And what you need to do basically first"
134,00:44:46:760,00:45:16:519," then it's a yes instance, because you have a K-sized independent set in H.  The idea of this proof is simple. It's a counting argument. And what you need to do basically first  is to show that H must contain a vertex of degree less than N over K. And then basically,  you apply the standard greedy packing algorithm for constructing an independent set of size k.  And the reason you show that and the way you show that H has a vertex of degree less than N over K"
135,00:45:04:679,00:45:37:000," you apply the standard greedy packing algorithm for constructing an independent set of size k.  And the reason you show that and the way you show that H has a vertex of degree less than N over K  is, again, standard counting argument and the handshaking lemma. So if the minimum degree in  H was at least N over K, then the number of edges would be at least N squared over 2K,  which will only happen in an epsilon sparse graph when N is less than or equal to K to the power 1"
136,00:45:23:159,00:45:54:200," H was at least N over K, then the number of edges would be at least N squared over 2K,  which will only happen in an epsilon sparse graph when N is less than or equal to K to the power 1  over epsilon. And the rest of the proof is basically an induction on K.  And so that shows you that when you do have an epsilon sparse graph with more than  this many vertices, then we have a yes instance."
137,00:45:45:480,00:46:18:520," And so that shows you that when you do have an epsilon sparse graph with more than  this many vertices, then we have a yes instance.  All right. So how about the second part of the claim? So now what happens if we have a C3 C4  free J that has a vertex of degree 3K? Well, let's see what happens. So if we have a vertex of degree  3K, and I'm going to circle it here in yellow. So how can the neighborhood of that vertex look?"
138,00:46:03:160,00:46:37:159," free J that has a vertex of degree 3K? Well, let's see what happens. So if we have a vertex of degree  3K, and I'm going to circle it here in yellow. So how can the neighborhood of that vertex look?  Well, we know that J is C3 free. So the blue edges cannot exist,  which means that the neighborhood of the yellow vertex is an independent set inside J,  not in the whole graph. Well, in fact, in the whole, well, no, because we're only talking"
139,00:46:23:880,00:47:03:000," which means that the neighborhood of the yellow vertex is an independent set inside J,  not in the whole graph. Well, in fact, in the whole, well, no, because we're only talking  about J as a subgraph here. Right? So the blue edges cannot exist, because otherwise,  we will get a C3 inside J. All right. So now let's look at the other vertices in S union T.  The second observation that you need is that any vertex other than the yellow vertex can have at"
140,00:46:43:320,00:47:21:720," we will get a C3 inside J. All right. So now let's look at the other vertices in S union T.  The second observation that you need is that any vertex other than the yellow vertex can have at  most one neighbor in common with the yellow vertex. Because if you do have two neighbors in common,  then you will get a C4.  So now what happens if we have 3K vertices in the neighborhood of the yellow vertex? Well,"
141,00:47:10:360,00:47:44:440," then you will get a C4.  So now what happens if we have 3K vertices in the neighborhood of the yellow vertex? Well,  at most 2K of them can be connected to some vertex in S union T, and you will get at least  K of them, some K of them here, that are only connected to the yellow vertex.  And so now basically, instead of using a buffer inside H, we have just found a buffer inside J,"
142,00:47:30:039,00:48:05:640," K of them, some K of them here, that are only connected to the yellow vertex.  And so now basically, instead of using a buffer inside H, we have just found a buffer inside J,  and we can use the same strategy. We can jump all the tokens here,  starting, of course, by the yellow token, and then jump them to where they need to go.  So now combining those two"
143,00:47:50:920,00:48:25:800," starting, of course, by the yellow token, and then jump them to where they need to go.  So now combining those two  observation lemmas together, if you will, we get the following theorem. So if H is alpha sparse,  and J is C3, C4 free, then the problem admits a kernel on this many vertices,  and it's basically a simple application of the previous two lemmas."
144,00:48:15:880,00:48:44:360," and J is C3, C4 free, then the problem admits a kernel on this many vertices,  and it's basically a simple application of the previous two lemmas.  If we have more than this many vertices in H, it's a trivial yes instance. If J has a  vertex of degree 3K or more, it's a trivial yes instance. And now you combine all of this together.  We know that S union T is of size at most 2K. We know that the neighborhood of S union T is"
145,00:48:31:880,00:49:12:280," vertex of degree 3K or more, it's a trivial yes instance. And now you combine all of this together.  We know that S union T is of size at most 2K. We know that the neighborhood of S union T is  of size at most 2K times 3K, which is roughly 6K squared. And now we know that the rest of the  graph has at most that many vertices. So basically you sum up those numbers, and you get this bound.  All right. So how does this theorem imply the result that I promised you to start with?"
146,00:48:50:920,00:49:37:080," graph has at most that many vertices. So basically you sum up those numbers, and you get this bound.  All right. So how does this theorem imply the result that I promised you to start with?  So that token jumping and token sliding admit a kernel with order K square vertices,  I mean, it also holds for bipartite C4 free graphs, right? Obviously because they are C3,  C4 free. So how do you get the kernel? Well, we know that J cannot contain more than 6K"
147,00:49:23:720,00:49:57:480," I mean, it also holds for bipartite C4 free graphs, right? Obviously because they are C3,  C4 free. So how do you get the kernel? Well, we know that J cannot contain more than 6K  squared minus 2K vertices. And we know from another theorem, from another  paper that C3 free graphs with K squared over log K vertices must have an independent set of size  at least K. And now we know that if H contains more than this many vertices, then we will get"
148,00:49:44:199,00:50:12:680," paper that C3 free graphs with K squared over log K vertices must have an independent set of size  at least K. And now we know that if H contains more than this many vertices, then we will get  the yes instance as well. Right? So it becomes an immediate consequence of the previous theorem.  But the previous theorem is even more general than this corollary. So this corollary  does not really use the full power of this theorem."
149,00:50:05:800,00:50:39:160," But the previous theorem is even more general than this corollary. So this corollary  does not really use the full power of this theorem.  All right. That's it. I think I'm on time. If you have questions, I will take them now.  It was 55 minutes, right? For the talk. I did not go under the time.  It's fine. We usually allow plus minus 10 minutes. That's all right."
150,00:50:23:240,00:51:01:320," It was 55 minutes, right? For the talk. I did not go under the time.  It's fine. We usually allow plus minus 10 minutes. That's all right.  So I have a question about token sliding. Yes.  So how crucial, what happens if one does not restrict the independent sets during the  configuration to be not of the same size? Is that very critical for the difficulty"
151,00:50:46:920,00:51:15:719," So how crucial, what happens if one does not restrict the independent sets during the  configuration to be not of the same size? Is that very critical for the difficulty  or the easiness of the problem? Well, you have to be careful how  you define that because in token sliding, sliding tokens cannot leave the graph.  That's correct. But the independent set sequence,"
152,00:51:06:280,00:51:31:719," you define that because in token sliding, sliding tokens cannot leave the graph.  That's correct. But the independent set sequence,  all the independent sets have to be the same size, right?  Well, if not some token disappeared at some point and I'm not sure how it disappeared.  Right? Because you start with something of size K and you're going to something of size K,"
153,00:51:19:159,00:51:53:000," Well, if not some token disappeared at some point and I'm not sure how it disappeared.  Right? Because you start with something of size K and you're going to something of size K,  you cannot leave the graph unless you define it in some way. So you will remain of size K throughout.  But you can become slightly larger than K. But where does the new token come from?  So there is a third rule that I did not tell you about,"
154,00:51:41:159,00:52:14:679," But you can become slightly larger than K. But where does the new token come from?  So there is a third rule that I did not tell you about,  which is called token addition and removal. Under that rule, we actually allow you to  remove vertices and add vertices as long as you remain an independent set of size at least K.  Does that answer your question? Yeah, yeah, yeah, yeah, yeah."
155,00:52:00:199,00:52:30:599," remove vertices and add vertices as long as you remain an independent set of size at least K.  Does that answer your question? Yeah, yeah, yeah, yeah, yeah.  But in fact, it was shown that this, it was shown that, so addition and removal is  equivalent to token jumping. I see, I see.  Right? It doesn't, it never makes sense to add more tokens to your graph if you don't need them."
156,00:52:22:440,00:52:54:599," equivalent to token jumping. I see, I see.  Right? It doesn't, it never makes sense to add more tokens to your graph if you don't need them.  You're only making your life harder, intuitively speaking.  So the other question that I had is, I mean, I heard,  so is it possible to view this whole problem on an exponential size graph where every vertex"
157,00:52:41:079,00:53:13:960," So the other question that I had is, I mean, I heard,  so is it possible to view this whole problem on an exponential size graph where every vertex  corresponds to an independent set in the original graph? And then you have edges between  two vertices if there is an edge between two vertices of the independent set.  And now you are doing a reachability question. Is that a meaningful way to think about this?"
158,00:53:03:159,00:53:29:400," two vertices if there is an edge between two vertices of the independent set.  And now you are doing a reachability question. Is that a meaningful way to think about this?  But that's exactly what we're doing. So the way you define your adjacency, I think,  so you mean you define, you make two independent sets adjacent if one can be reached from the  other via a single slide or a single jump. Exactly, yeah, one edge, yeah. There is"
159,00:53:19:960,00:53:47:079," so you mean you define, you make two independent sets adjacent if one can be reached from the  other via a single slide or a single jump. Exactly, yeah, one edge, yeah. There is  one pair, u and v, which is adjacent. But that's exactly what we're doing.  OK, OK, yeah. I mean, because we're looking at algorithms here, we kind of forget the  structural picture behind it. But this algorithm is finding a path in this graph that you're"
160,00:53:34:519,00:54:16:920," OK, OK, yeah. I mean, because we're looking at algorithms here, we kind of forget the  structural picture behind it. But this algorithm is finding a path in this graph that you're  describing. Yeah, yeah, that's right. And what we're saying is you can do it in FPT time or not,  depending on the problem we're talking about. Hi, Amir.  How are you? Yeah, I'm good. So I have a question. So do the problems remain equally"
161,00:53:54:039,00:54:31:880," depending on the problem we're talking about. Hi, Amir.  How are you? Yeah, I'm good. So I have a question. So do the problems remain equally  hard if we bound the if we have a restriction on the number of times  we can move the token to a particular vertex?  The number of times you can move a token to a particular vertex."
162,00:54:21:240,00:54:49:800," we can move the token to a particular vertex?  The number of times you can move a token to a particular vertex.  Like the number of times the tokens can be moved to a vertex.  Well, that's definitely going to change the complexity in at least intuitively speaking,  because now you're saying maybe it will if you're bounding that by a constant,"
163,00:54:38:360,00:55:09:400," Well, that's definitely going to change the complexity in at least intuitively speaking,  because now you're saying maybe it will if you're bounding that by a constant,  then you might be saying that I'm not allowing exponentially large sequences anymore.  But in terms of exactly how the complexity changes, I don't have answers. I think it's a  very nice question to pose. Even in terms of nonparameterized complexity, standard complexity,"
164,00:54:55:400,00:55:22:680," But in terms of exactly how the complexity changes, I don't have answers. I think it's a  very nice question to pose. Even in terms of nonparameterized complexity, standard complexity,  I think that that would be a very interesting question, because  because it will definitely affect the behavior. I'm not sure exactly how yet.  I don't know of any results that ask this particular question."
165,00:55:13:240,00:55:42:039," because it will definitely affect the behavior. I'm not sure exactly how yet.  I don't know of any results that ask this particular question.  Okay, so I had one more question in the W-hardness result that you presented.  So do you know like the length of the the the length of the changes are actually the  number of changes or flips that you make in your independent set? This is just."
166,00:55:29:079,00:55:59:880," So do you know like the length of the the the length of the changes are actually the  number of changes or flips that you make in your independent set? This is just.  Yes, yes, yes. We do. So here the number of changes is going to be very it's it's  basically going to be the shortest possible sequence. So it's it's going to it's it's  basically going to be so if you think about the simple construction, this one."
167,00:55:49:000,00:56:18:599," basically going to be the shortest possible sequence. So it's it's going to it's it's  basically going to be so if you think about the simple construction, this one.  It's basically literally going to be these guys are going to move here. So each is going to cost  me one slide and then they're all going to and now this guy is going to move here. And now I will pay  one slide for each one here. Now this is the simplified version of it. Once you go to the"
168,00:56:05:559,00:56:42:039," me one slide and then they're all going to and now this guy is going to move here. And now I will pay  one slide for each one here. Now this is the simplified version of it. Once you go to the  complete version of it, you have some extra slides within the path, but you can also count those.  Okay, so but does this mean that so does this mean that at a particular vertex, we're  placing the token at most once? In this case, yes. Okay. In this case, yes. Okay. So this problem"
169,00:56:23:960,00:57:02:680," Okay, so but does this mean that so does this mean that at a particular vertex, we're  placing the token at most once? In this case, yes. Okay. In this case, yes. Okay. So this problem  should be hard, even if we bound the number of times tokens can be moved to a vertex, right?  Should be hard, even if we bound the number of times tokens can be moved to a vertex, right?  Yes. Okay. Yes. So so here in this case, yes. Absolutely. Okay. Thanks."
170,00:56:47:400,00:57:25:480," Should be hard, even if we bound the number of times tokens can be moved to a vertex, right?  Yes. Okay. Yes. So so here in this case, yes. Absolutely. Okay. Thanks.  So Akanksha, I have a remark about your question. So if a vertex, if a vertex cannot get a token  twice, then it somehow seems to be selecting disjoint independent sets,  a sequence of them, and that may have some bearing on coloring, just a top level."
171,00:57:12:920,00:57:49:320," twice, then it somehow seems to be selecting disjoint independent sets,  a sequence of them, and that may have some bearing on coloring, just a top level.  So actually, for the list, the W harness case that I'm in presented, it is exactly the case,  right? So we are not allowed to move the token, like twice on the same vertex.  Yeah. So I didn't get your point of moving. So getting this disjoint independence, it's actually"
172,00:57:35:960,00:58:08:280," right? So we are not allowed to move the token, like twice on the same vertex.  Yeah. So I didn't get your point of moving. So getting this disjoint independence, it's actually  because if you say if you think of it from my the way I thought about it, right, that you are  actually trying to find a path in a large graph where every vertex corresponds to an independent  set, and you move from one independent set to another. So we can only move from one independent"
173,00:57:55:159,00:58:28:519," actually trying to find a path in a large graph where every vertex corresponds to an independent  set, and you move from one independent set to another. So we can only move from one independent  set to the other, if the changes is like in case of tokens sliding, it's one probably.  Yeah.  So it looks to me that you're asking for a collection of independent sets,"
174,00:58:17:400,00:58:48:680," Yeah.  So it looks to me that you're asking for a collection of independent sets,  which are vertex disjoint, if the token sequence of independent sets which are vertex disjoint.  Yeah. So if I may, I think Akansha's question would be more relevant in a place where we don't  have a monotone sequence, meaning a sequence. So we need a version of the problem or some cases of"
175,00:58:34:840,00:59:08:360," Yeah. So if I may, I think Akansha's question would be more relevant in a place where we don't  have a monotone sequence, meaning a sequence. So we need a version of the problem or some cases of  the problem where a vertex has to be visited multiple times to find solutions. And that is  known to be the case for some versions or some statements of the problem. And in fact, Akansha,  so this was the crucial difference between PSPACE completeness and NP completeness of sliding versus"
176,00:58:55:160,00:59:31:720," known to be the case for some versions or some statements of the problem. And in fact, Akansha,  so this was the crucial difference between PSPACE completeness and NP completeness of sliding versus  jumping in bipartite graphs. So it was because we were able to show that no vertex will be visited  more than once in the other problems. So that's why it's definitely an interesting question to  pose, but you have to be careful in what context you pose it. I don't know if that kind of settles"
177,00:59:15:080,01:00:20:360," more than once in the other problems. So that's why it's definitely an interesting question to  pose, but you have to be careful in what context you pose it. I don't know if that kind of settles  answers your question. Yes, yes, it does. All right. Thanks. You're welcome.  Any more questions?  I guess not."
178,00:59:39:079,01:00:38:679," Any more questions?  I guess not.  Yeah, I don't think there are any more questions. I will just once again announce the parameterized  algorithm 301 workshop, which is going to happen in December. And the link has been posted once  again in the chat. Some advanced topics in parameterized complexity will be discussed."
179,01:00:27:400,01:01:15:000," algorithm 301 workshop, which is going to happen in December. And the link has been posted once  again in the chat. Some advanced topics in parameterized complexity will be discussed.  Those interested can have a look and register for it.  And yeah, if there are any more questions, please ask away.  Oh, so anyone can register for the"
180,01:00:43:640,01:01:30:360," And yeah, if there are any more questions, please ask away.  Oh, so anyone can register for the  school? Yes, yes, anyone can.  Yeah, it's free and it's online and yeah, it's open to everyone.  Awesome. So I can share it with my students as well."
181,01:01:23:400,01:01:46:680," Yeah, it's free and it's online and yeah, it's open to everyone.  Awesome. So I can share it with my students as well.  Of course, of course, please do. Yeah, that would be good. And we assumed some basic  understanding of parameterized algorithms, but we have already shared a link on the page  where students can go and go through some previous lectures in parameterized algorithms if"
182,01:01:34:920,01:02:10:920," understanding of parameterized algorithms, but we have already shared a link on the page  where students can go and go through some previous lectures in parameterized algorithms if  they wish to just brace up or revise stuff.  All right, so I guess, okay, I don't think there are any more questions.  So maybe this is a good time to wrap up. So thank you once again Professor Amedoh for"
183,01:01:57:639,01:02:27:000," All right, so I guess, okay, I don't think there are any more questions.  So maybe this is a good time to wrap up. So thank you once again Professor Amedoh for  agreeing to give the talk. It was really nice to have you and it was really good to have something  different than what we usually hear in every parameterized complexity talk, at least most  of them. So and yeah, these are really interesting problems to think upon. And thank you to the"
